0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,cr
0.194,0.173,0.085,0.153,0.049,0.05,0.028,0.112,0.041,0.114,0.889,0.875,0.75,0.857,0.5,0.667,0.125,0.8,0.167,0.833,0.055
0.212,0.168,0.084,0.126,0.048,0.044,0.029,0.122,0.042,0.126,0.9,0.875,0.75,0.833,0.333,0.25,0.125,0.75,0.167,0.857,0.056
0.198,0.179,0.081,0.153,0.048,0.05,0.021,0.118,0.03,0.121,0.9,0.875,0.75,0.833,0.333,0.25,0.125,0.75,0.167,0.857,0.058
0.193,0.176,0.086,0.144,0.048,0.055,0.028,0.113,0.04,0.117,0.889,0.875,0.8,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.06
0.19,0.173,0.09,0.15,0.051,0.053,0.027,0.109,0.039,0.117,0.889,0.857,0.8,0.833,0.5,0.333,0.111,0.8,0.125,0.833,0.047
0.199,0.177,0.089,0.152,0.05,0.051,0.027,0.106,0.04,0.109,0.889,0.889,0.8,0.857,0.5,0.667,0.125,0.8,0.143,0.833,0.061
0.195,0.168,0.089,0.155,0.051,0.054,0.028,0.106,0.041,0.112,0.889,0.875,0.8,0.857,0.5,0.667,0.111,0.8,0.143,0.833,0.051
0.201,0.163,0.08,0.153,0.052,0.055,0.028,0.112,0.042,0.116,0.889,0.875,0.667,0.857,0.5,0.667,0.125,0.8,0.167,0.833,0.058
0.216,0.164,0.084,0.148,0.05,0.05,0.028,0.105,0.044,0.111,0.9,0.875,0.75,0.857,0.5,0.667,0.125,0.8,0.167,0.833,0.055
0.195,0.176,0.085,0.153,0.048,0.049,0.025,0.11,0.04,0.12,0.889,0.875,0.8,0.857,0.5,0.667,0.111,0.8,0.167,0.833,0.065
0.186,0.18,0.083,0.155,0.05,0.053,0.024,0.111,0.039,0.12,0.889,0.875,0.8,0.857,0.5,0.667,0.111,0.8,0.143,0.833,0.057
0.198,0.17,0.086,0.15,0.05,0.051,0.028,0.112,0.04,0.115,0.9,0.875,0.75,0.833,0.5,0.5,0.111,0.8,0.167,0.833,0.069
0.203,0.167,0.085,0.156,0.048,0.05,0.026,0.109,0.039,0.116,0.9,0.875,0.75,0.857,0.5,0.667,0.111,0.8,0.143,0.833,0.054
0.194,0.164,0.089,0.158,0.049,0.051,0.027,0.111,0.04,0.118,0.889,0.875,0.75,0.857,0.5,0.667,0.125,0.8,0.167,0.833,0.055
0.197,0.166,0.089,0.154,0.049,0.05,0.027,0.11,0.04,0.117,0.9,0.875,0.75,0.857,0.333,0.667,0.125,0.8,0.167,0.833,0.055
0.195,0.162,0.089,0.155,0.05,0.052,0.026,0.111,0.04,0.119,0.889,0.875,0.8,0.857,0.5,0.667,0.111,0.8,0.167,0.833,0.051
0.208,0.168,0.085,0.152,0.048,0.05,0.026,0.109,0.04,0.113,0.9,0.875,0.75,0.833,0.5,0.667,0.111,0.8,0.143,0.833,0.055
0.196,0.17,0.088,0.153,0.049,0.051,0.027,0.11,0.041,0.115,0.889,0.875,0.75,0.857,0.5,0.667,0.125,0.8,0.167,0.833,0.058
0.195,0.169,0.088,0.159,0.049,0.05,0.027,0.11,0.04,0.114,0.889,0.875,0.75,0.857,0.5,0.667,0.111,0.8,0.143,0.833,0.057
0.191,0.166,0.087,0.158,0.05,0.053,0.026,0.111,0.04,0.118,0.889,0.875,0.75,0.857,0.5,0.75,0.111,0.8,0.143,0.833,0.056
0.195,0.165,0.088,0.153,0.051,0.054,0.028,0.11,0.041,0.116,0.9,0.875,0.75,0.857,0.5,0.667,0.125,0.75,0.167,0.833,0.055
0.197,0.168,0.088,0.151,0.05,0.052,0.027,0.113,0.04,0.115,0.9,0.875,0.8,0.857,0.5,0.667,0.111,0.8,0.143,0.833,0.055
0.203,0.164,0.085,0.153,0.05,0.051,0.027,0.113,0.039,0.114,0.9,0.875,0.75,0.857,0.5,0.667,0.111,0.8,0.143,0.833,0.058
0.199,0.165,0.085,0.151,0.05,0.051,0.027,0.114,0.043,0.115,0.9,0.875,0.75,0.833,0.333,0.667,0.111,0.8,0.167,0.833,0.056
0.197,0.168,0.085,0.149,0.051,0.052,0.028,0.114,0.042,0.115,0.889,0.889,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.062
0.197,0.168,0.087,0.149,0.05,0.051,0.028,0.113,0.042,0.115,0.889,0.889,0.8,0.857,0.5,0.667,0.125,0.8,0.167,0.833,0.062
0.191,0.17,0.088,0.15,0.05,0.052,0.028,0.114,0.042,0.116,0.889,0.889,0.8,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.056
0.191,0.17,0.088,0.15,0.05,0.052,0.028,0.113,0.041,0.116,0.889,0.889,0.8,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.054
0.195,0.165,0.089,0.149,0.051,0.053,0.028,0.114,0.041,0.116,0.889,0.875,0.8,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.055
0.193,0.17,0.085,0.15,0.051,0.053,0.027,0.113,0.042,0.116,0.889,0.889,0.75,0.833,0.5,0.667,0.111,0.8,0.167,0.833,0.057
0.193,0.169,0.088,0.15,0.051,0.054,0.028,0.111,0.043,0.112,0.889,0.889,0.8,0.833,0.5,0.667,0.125,0.75,0.167,0.833,0.06
0.2,0.163,0.08,0.152,0.051,0.052,0.028,0.114,0.042,0.12,0.889,0.875,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.058
0.204,0.162,0.08,0.151,0.049,0.052,0.028,0.116,0.042,0.117,0.889,0.875,0.667,0.833,0.5,0.667,0.111,0.8,0.167,0.833,0.058
0.201,0.165,0.079,0.155,0.051,0.053,0.029,0.111,0.043,0.113,0.889,0.875,0.667,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.058
0.194,0.168,0.084,0.156,0.051,0.053,0.029,0.111,0.042,0.113,0.889,0.875,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.058
0.198,0.167,0.083,0.156,0.051,0.051,0.029,0.111,0.041,0.113,0.9,0.875,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.057
0.211,0.168,0.083,0.15,0.05,0.051,0.028,0.108,0.042,0.108,0.889,0.889,0.75,0.833,0.5,0.667,0.111,0.8,0.167,0.833,0.072
0.208,0.169,0.082,0.15,0.05,0.052,0.029,0.109,0.041,0.109,0.889,0.889,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.072
0.209,0.163,0.085,0.152,0.052,0.052,0.027,0.11,0.041,0.11,0.889,0.875,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.065
0.197,0.17,0.086,0.153,0.052,0.053,0.027,0.11,0.04,0.11,0.875,0.889,0.8,0.857,0.5,0.667,0.111,0.8,0.167,0.833,0.058
0.204,0.169,0.083,0.15,0.052,0.053,0.028,0.11,0.04,0.11,0.889,0.889,0.75,0.833,0.667,0.75,0.125,0.8,0.167,0.833,0.059
0.194,0.168,0.084,0.152,0.05,0.051,0.028,0.115,0.041,0.115,0.889,0.875,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.051
0.194,0.169,0.084,0.152,0.051,0.051,0.028,0.114,0.042,0.114,0.889,0.875,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.049
0.212,0.168,0.081,0.15,0.049,0.05,0.028,0.111,0.04,0.11,0.9,0.875,0.667,0.833,0.333,0.5,0.125,0.8,0.167,0.833,0.063
0.195,0.175,0.083,0.152,0.05,0.051,0.028,0.113,0.04,0.112,0.889,0.889,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.057
0.189,0.175,0.084,0.154,0.05,0.051,0.029,0.114,0.04,0.113,0.889,0.889,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.053
0.195,0.174,0.086,0.152,0.05,0.05,0.028,0.113,0.04,0.111,0.9,0.875,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.06
0.201,0.174,0.086,0.147,0.05,0.051,0.028,0.112,0.04,0.111,0.9,0.875,0.75,0.8,0.5,0.667,0.125,0.8,0.167,0.833,0.064
0.197,0.172,0.085,0.156,0.048,0.049,0.029,0.112,0.041,0.111,0.889,0.875,0.75,0.857,0.333,0.5,0.125,0.8,0.2,0.833,0.062
0.203,0.17,0.086,0.149,0.05,0.05,0.029,0.112,0.041,0.111,0.889,0.875,0.75,0.833,0.5,0.667,0.125,0.8,0.2,0.833,0.066
0.195,0.174,0.088,0.15,0.05,0.05,0.029,0.114,0.038,0.112,0.889,0.875,0.8,0.833,0.5,0.667,0.125,0.8,0.143,0.833,0.055
0.21,0.171,0.091,0.151,0.047,0.05,0.029,0.107,0.041,0.103,0.889,0.889,0.8,0.857,0.333,0.5,0.125,0.75,0.167,0.8,0.063
0.211,0.163,0.092,0.153,0.047,0.051,0.029,0.107,0.041,0.105,0.9,0.875,0.833,0.857,0.333,0.667,0.125,0.75,0.167,0.8,0.057
0.21,0.163,0.091,0.152,0.047,0.049,0.029,0.111,0.041,0.108,0.9,0.875,0.833,0.857,0.333,0.5,0.125,0.8,0.167,0.833,0.06
0.205,0.166,0.087,0.151,0.05,0.052,0.029,0.112,0.041,0.109,0.9,0.875,0.8,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.06
0.197,0.17,0.088,0.153,0.05,0.054,0.029,0.108,0.041,0.109,0.889,0.889,0.833,0.833,0.5,0.75,0.125,0.75,0.167,0.833,0.053
0.197,0.169,0.088,0.153,0.05,0.053,0.029,0.112,0.04,0.109,0.889,0.875,0.833,0.833,0.5,0.75,0.125,0.8,0.143,0.833,0.052
0.195,0.167,0.088,0.153,0.051,0.054,0.03,0.112,0.041,0.11,0.889,0.875,0.833,0.857,0.5,0.667,0.143,0.8,0.167,0.833,0.053
0.191,0.171,0.088,0.153,0.05,0.053,0.029,0.112,0.041,0.112,0.889,0.875,0.8,0.857,0.5,0.667,0.125,0.8,0.167,0.833,0.051
0.2,0.173,0.086,0.151,0.048,0.051,0.028,0.111,0.04,0.111,0.9,0.889,0.75,0.833,0.333,0.667,0.125,0.8,0.143,0.833,0.057
0.2,0.17,0.087,0.15,0.052,0.054,0.028,0.111,0.038,0.11,0.9,0.875,0.75,0.833,0.667,0.75,0.125,0.8,0.125,0.833,0.061
0.191,0.167,0.089,0.151,0.051,0.053,0.03,0.113,0.042,0.113,0.889,0.875,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.052
0.191,0.167,0.089,0.151,0.051,0.053,0.03,0.113,0.042,0.113,0.889,0.875,0.8,0.833,0.5,0.667,0.143,0.8,0.167,0.833,0.052
0.191,0.172,0.088,0.151,0.051,0.052,0.03,0.112,0.042,0.112,0.889,0.875,0.8,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.053
0.191,0.176,0.088,0.151,0.051,0.052,0.03,0.11,0.042,0.11,0.889,0.889,0.75,0.833,0.5,0.667,0.143,0.75,0.167,0.833,0.051
0.195,0.171,0.087,0.15,0.052,0.054,0.029,0.11,0.042,0.11,0.9,0.889,0.75,0.833,0.667,0.75,0.125,0.8,0.167,0.833,0.052
0.194,0.169,0.087,0.152,0.05,0.053,0.029,0.113,0.042,0.112,0.889,0.875,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.059
0.19,0.17,0.095,0.152,0.049,0.052,0.028,0.112,0.042,0.11,0.889,0.889,0.8,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.063
0.201,0.168,0.087,0.149,0.05,0.053,0.029,0.111,0.042,0.11,0.889,0.875,0.8,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.072
0.204,0.169,0.089,0.147,0.047,0.052,0.029,0.111,0.041,0.11,0.9,0.889,0.833,0.833,0.333,0.667,0.125,0.8,0.167,0.833,0.065
